您好播主，想了解出工打工情况，	这块 我们不是很了解
您好 我想咨询一下在美国的工作	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好 是否可以直接加您微信呢	他在具体岗位上面可能可以更好的回答您的问题。您目前人在美国么
是的 我人在美国 找工作	能简单介绍一下您的情况么？
您好！看到您是约翰霍普金斯毕业的，我儿子是您的学弟呢，现在约翰霍普金斯读硕，今年8月毕业，今年校招还没搞定，您这边可以指导一下吗？	孩子是什么专业呀？
您好！很喜欢您的视频，我女儿会计专业，硕士马上毕业，但工作还没找到，您有帮忙推荐吗？	您好，感谢您的喜欢和支持！我们帮忙找工作是收费的哈，我们不会培训，也不收培训费，但是我们会在帮他拿到offer，如果孩子满意这个offer愿意去的时候收取20%第一年的基础工资作为我们的服务费。我们一般不做这个业务因为猎头主要是收取公司的20%-25%费用去挖高端有经验的人才，这个比较容易一些。如果您真的觉得需要我们的帮助且这个费用是可以接受的，我可以安排我们的猎头顾问给您和孩子聊聊
您好！很高兴您能回复，真巧，看了您的视频知道您是福建泉州的，我们是福建福州的，同是老乡做事放心，收费是应该的，这个费用我们也能承受，您看一下猎头顾问怎么联系方便？我的微信号是13600807986，如果是其他联系方式请留言，谢谢！	没问题，感谢您老乡的支持，我们也会努力安排，我也会关注一下您孩子的进度
好的，谢谢，期待着您的安排，有进展第一时间向您汇报！	没问题，您有问题再找我 您有空多来逛逛我直播间支持啊
Gary您好！您的公司猎头还没联系我，烦您抽空帮我问问，谢	我让他尽快处理一下哈~ 目前的人数太多了
求入群。	您好，感谢您对我的喜欢和认可哈。平时在美国我们团队的主要工作还是在猎头业务上，我也正在和国内的团队计划近期开设付费的VIP聊天群，可以提供更多适合有实际美国需求的粉丝的有价值的内容和资源。如果还没有在美国有迫切需求，其实可以关注我的视频号，经常来直播间就可以聊聊哈，再次感谢您！
很欣赏您，我家孩子🧒读大一ucla，我也喜欢美国🇺🇸。您多指导。 如果与用工公司签了合同，通常是几年？条款中有裁员赔偿规定是吗？	美国工作，不能签署有时间的合同 不合法 基本上都是自由协议
谢谢老师👨‍🏫。 OPT也应该是雇主单位去申请，就是这个也不是必经之路对吧，比如H1B顺利的话就不用OP T了，对吗？ 另外我有好几个家长群，我还想跟您进行讲座合作，我这几个家长群高一高二高三大一都有。	OPT不需要公司申请，需要孩子向学校提供目前offer，会有学校来颁发opt。基本上都是孩子在OPT期间抽到H1B，然后无缝衔接 真的特别感谢您的喜爱，高中的小朋友可能小了点，还在决定专业和学校这个层面，我们可能要更加往后一些。不过您可以帮我多宣传宣传呀哈哈，欢迎来到我的直播间或关注我的视频~
老师您好，我儿子本科北大数据科学，国家奖学金，现在纽大数据科学硕士一年级，绩点第一，满绩，请问就业怎么规划。	很优秀的孩子哈，我觉得如果他可以考虑多学学GPT，人工智能现在是大趋势，毕业后如果不会人工智能的应用会比较不好找
老师您能不能帮忙推荐一下五月份美国的线下实习，付费也可以哦。	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您可以加一下我的助理，我们有一些岗位或许可以合适
好的 微信号显示空号啊 Garysv2004	是Garysv2024哈！
老师，真的加不了哦	我知道，不好意思，他被加爆限流了 您稍等 您现在再试试呢
老师您好	您好，请问希望咨询什么问题？
我女儿去年毕业于伯克利分校。夲科（数据科学），硕士（工业工程运筹学）。目前在美寻求工作，渴望能得到您的帮助。	孩子毕业之后到现在还没有工作么？ 是去年什么时候毕业的？目前什么身份 H1B的抽签嘛？今年的规则来说，多个公司抽没意义，增加不了概率。
收到，谢谢 您好，想请教一下哈，女儿这次没有抽中H1B，能开始申请办绿卡吗？谢谢	具体要看准备申请什么类型的绿卡
您好	您好
Gary 您是猎头吗？	是的哈您可以google 猎头Gary Xie 但是猎头主要是帮公司找高管
我的孩子学AI 明年博士毕业	孩子还是很优秀的！
老师好，可以请教您一些问题吗	请问
老师好，我家孩子在英国利兹学政治学专业，到美国读博士可以不，能否拿到奖学金，回国就业前景如何？请指教，谢谢。	回国的前景我不是很熟悉，不好意思，我自己都没有在国内工作过不知道的问题我不随便回答您，误导了就不好了~
那能不能在美国就业	酒业需要工作签证，或者孩子完成学业后使用OPT进行工作
你好，怎么和您联系？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
谢谢，但是我添加不进去 我孩子在uiuc商院读大二，计划先不读研，本科毕业先找工作，您给点建议	没问题 他可能被加爆了什么专业？ 您可以再尝试一下~如果还没加上的话
您好！请问您帮忙求职吗？我女儿目前在圣路易斯华盛顿大学商业分析——金融科技分析读硕士，今年12月份毕业，想在美国就业	唉，商业分析。。。 我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。但是我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费。一般收费是第一年年薪的20%。请慎重考虑,如果真的需要我们的付费服务我再安排我的猎头顾问跟您联系就好。
哦哦，她自己也投了很多，但因为身份问题目前都没有结果，我把您的建议也转给她。那如果委托您帮忙，按第一年年薪的20 ％付费，您可以确保求职成功吗，并且是和她专业相关的工作 另外20 ％收费是在求职成功后支付吗？	第一年，是成功拿到offer，而且她自己也愿意加入 如果offer她不满意，我们也不收费哈
那您的意思是在成功拿到offer前我们是不用付费的，对offer满意并入职后再付费？	是的哈所以这个服务很辛苦，常常赚不到钱 我们只能有空试试看，如果孩子专业太偏或者面试不好，我们可以也帮不到，但是也不会有收费
